time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
2.0184,0.139497,0.163948,-0.0179956,0.0282863,0,0,0.262343,0.217892,0.117996,0.0717137,0,0
2.0185,0.139495,0.16395,-0.0179956,0.0282863,0,0,0.262355,0.2179,0.117996,0.0717137,0,0
2.0186,0.139494,0.163953,-0.0179956,0.0282863,0,0,0.262366,0.217907,0.117996,0.0717137,0,0
2.0187,0.139492,0.163956,-0.0179956,0.0282863,0,0,0.262378,0.217914,0.117996,0.0717137,0,0
2.0188,0.13949,0.163959,-0.0179956,0.0282863,0,0,0.26239,0.217921,0.117996,0.0717137,0,0
2.0189,0.139488,0.163962,-0.0179956,0.0282863,0,0,0.262402,0.217928,0.117996,0.0717137,0,0
2.019,0.139486,0.163965,-0.0179956,0.0282863,0,0,0.262414,0.217935,0.117996,0.0717137,0,0
2.0191,0.139485,0.163967,-0.0179956,0.0282863,0,0,0.262425,0.217943,0.117996,0.0717137,0,0
2.0192,0.139483,0.16397,-0.0179956,0.0282863,0,0,0.262437,0.21795,0.117996,0.0717137,0,0
2.0193,0.139481,0.163973,-0.0179956,0.0282863,0,0,0.262449,0.217957,0.117996,0.0717137,0,0
2.0194,0.139479,0.163976,-0.0179956,0.0282863,0,0,0.262461,0.217964,0.117996,0.0717137,0,0
2.0195,0.139477,0.163979,-0.0179956,0.0282863,0,0,0.262473,0.217971,0.117996,0.0717137,0,0
2.0196,0.139476,0.163982,-0.0179956,0.0282863,0,0,0.262484,0.217978,0.117996,0.0717137,0,0
2.0197,0.139474,0.163984,-0.0179956,0.0282863,0,0,0.262496,0.217986,0.117996,0.0717137,0,0
2.0198,0.139472,0.163987,-0.0179956,0.0282863,0,0,0.262508,0.217993,0.117996,0.0717137,0,0
2.0199,0.13947,0.16399,-0.0179956,0.0282863,0,0,0.26252,0.218,0.117996,0.0717137,0,0
2.02,0.139469,0.163993,-0.0179956,0.0282863,0,0,0.262531,0.218007,0.117996,0.0717137,0,0
2.0201,0.139467,0.163996,-0.0179956,0.0282863,0,0,0.262543,0.218014,0.117996,0.0717137,0,0
2.0202,0.139465,0.163999,-0.0179956,0.0282863,0,0,0.262555,0.218021,0.117996,0.0717137,0,0
2.0203,0.139463,0.164001,-0.0179956,0.0282863,0,0,0.262567,0.218029,0.117996,0.0717137,0,0
2.0204,0.139461,0.164004,-0.0179956,0.0282863,0,0,0.262579,0.218036,0.117996,0.0717137,0,0
2.0205,0.13946,0.164007,-0.0179956,0.0282863,0,0,0.26259,0.218043,0.117996,0.0717137,0,0
2.0206,0.139458,0.16401,-0.0179956,0.0282863,0,0,0.262602,0.21805,0.117996,0.0717137,0,0
2.0207,0.139456,0.164013,-0.0179956,0.0282863,0,0,0.262614,0.218057,0.117996,0.0717137,0,0
2.0208,0.139454,0.164016,-0.0179956,0.0282863,0,0,0.262626,0.218064,0.117996,0.0717137,0,0
2.0209,0.139452,0.164018,-0.0179956,0.0282863,0,0,0.262638,0.218072,0.117996,0.0717137,0,0
2.021,0.139451,0.164021,-0.0179956,0.0282863,0,0,0.262649,0.218079,0.117996,0.0717137,0,0
2.0211,0.139449,0.164024,-0.0179956,0.0282863,0,0,0.262661,0.218086,0.117996,0.0717137,0,0
2.0212,0.139447,0.164027,-0.0179956,0.0282863,0,0,0.262673,0.218093,0.117996,0.0717137,0,0
2.0213,0.139445,0.16403,-0.0179956,0.0282863,0,0,0.262685,0.2181,0.117996,0.0717137,0,0
2.0214,0.139443,0.164032,-0.0179956,0.0282863,0,0,0.262697,0.218108,0.117996,0.0717137,0,0
2.0215,0.139442,0.164035,-0.0179956,0.0282863,0,0,0.262708,0.218115,0.117996,0.0717137,0,0
2.0216,0.13944,0.164038,-0.0179956,0.0282863,0,0,0.26272,0.218122,0.117996,0.0717137,0,0
2.0217,0.139438,0.164041,-0.0179956,0.0282863,0,0,0.262732,0.218129,0.117996,0.0717137,0,0
2.0218,0.139436,0.164044,-0.0179956,0.0282863,0,0,0.262744,0.218136,0.117996,0.0717137,0,0
